Board Size, Model, Score Mean, Score Standard Deviation, numMoves mean, numMoves Standard Deviation, Wins Mean, Wins Standard Deviation
3, randomizer, 6.723, 0.136, 46.887, 1.857, 46.1, 4.965
4, randomizer, 7.361, 0.28, 109.459, 4.374, 2.84, 1.848
5, randomizer, 6.959, 0.274, 197.098, 8.364, 0.0, 0.0
6, randomizer, 6.744, 0.22, 310.753, 14.489, 0.0, 0.0
7, randomizer, 6.582, 0.247, 445.965, 18.672, 0.0, 0.0
8, randomizer, 6.218, 0.2, 590.37, 22.138, 0.0, 0.0
9, randomizer, 5.63, 0.222, 722.043, 22.251, 0.0, 0.0
40, randomizer, 0.195, 0.045, 1000.0, 0.0, 0.0, 0.0
3, towardslessdense, 7.022, 0.121, 16.15, 0.448, 55.3, 4.957
4, towardslessdense, 8.514, 0.272, 31.568, 1.283, 1.88, 1.465
5, towardslessdense, 9.528, 0.357, 46.535, 1.937, 0.02, 0.14
6, towardslessdense, 10.625, 0.32, 60.917, 2.54, 0.0, 0.0
7, towardslessdense, 11.732, 0.42, 76.788, 3.281, 0.0, 0.0
8, towardslessdense, 12.891, 0.516, 93.917, 4.397, 0.0, 0.0
9, towardslessdense, 14.142, 0.546, 112.231, 5.042, 0.0, 0.0
40, towardslessdense, 29.575, 0.818, 823.266, 22.824, 0.0, 0.0
3, wallhugger, 7.144, 0.146, 17.811, 0.52, 63.02, 5.708
4, wallhugger, 9.718, 0.316, 40.936, 1.49, 9.26, 3.56
5, wallhugger, 10.814, 0.426, 68.759, 2.769, 0.28, 0.449
6, wallhugger, 11.362, 0.446, 99.985, 3.877, 0.0, 0.0
7, wallhugger, 11.51, 0.49, 130.768, 6.601, 0.0, 0.0
8, wallhugger, 11.577, 0.428, 160.848, 7.177, 0.0, 0.0
9, wallhugger, 11.486, 0.419, 189.362, 8.247, 0.0, 0.0
40, wallhugger, 9.092, 0.248, 711.677, 23.887, 0.0, 0.0
3, PSOTrained, 7.97, 0.042, 23.022, 0.677, 99.3, 0.854
4, PSOTrained, 13.44, 0.237, 58.664, 1.386, 54.04, 5.227
5, PSOTrained, 18.657, 0.356, 161.797, 14.441, 4.4, 1.908
6, PSOTrained, 17.872, 0.442, 158.236, 3.98, 0.2, 0.529
7, PSOTrained, 26.591, 0.457, 306.039, 6.554, 0.0, 0.0
8, PSOTrained, 24.361, 0.386, 344.936, 6.196, 0.0, 0.0
9, PSOTrained, 28.271, 0.728, 464.051, 13.675, 0.0, 0.0
40, PSOTrained, 26.416, 0.536, 928.402, 16.825, 0.0, 0.0
3, GPFirst, 3.38, 0.205, 174.407, 30.237, 6.6, 2.349
4, GPFirst, 6.522, 0.391, 109.074, 25.684, 7.58, 2.426
5, GPFirst, 9.777, 0.369, 123.026, 24.699, 0.36, 0.794
6, GPFirst, 9.775, 0.88, 598.781, 40.753, 0.08, 0.271
7, GPFirst, 6.798, 0.444, 119.245, 23.767, 0.0, 0.0
8, GPFirst, 14.249, 1.353, 685.345, 35.804, 0.0, 0.0
9, GPFirst, 7.558, 0.429, 134.283, 19.269, 0.0, 0.0
40, GPFirst, 17.628, 0.271, 974.082, 9.057, 0.0, 0.0
3, GPSecond, 7.592, 0.091, 25.449, 6.201, 79.02, 4.032
4, GPSecond, 13.346, 0.24, 59.723, 2.425, 53.56, 5.162
5, GPSecond, 16.614, 0.334, 108.562, 2.231, 1.68, 1.348
6, GPSecond, 22.594, 0.478, 217.702, 5.364, 2.74, 1.764
7, GPSecond, 23.281, 0.579, 254.794, 9.174, 0.0, 0.0
8, GPSecond, 27.15, 0.569, 368.119, 9.012, 0.0, 0.0
9, GPSecond, 31.848, 0.708, 470.403, 12.879, 0.0, 0.0
40, GPSecond, 35.459, 0.442, 977.721, 9.461, 0.0, 0.0
3, GPThird, 7.579, 0.103, 25.286, 6.188, 78.34, 4.278
4, GPThird, 13.352, 0.233, 61.397, 4.084, 53.16, 5.069
5, GPThird, 16.618, 0.31, 108.76, 2.338, 1.7, 1.153
6, GPThird, 22.473, 0.528, 216.835, 5.06, 2.78, 1.285
7, GPThird, 23.221, 0.648, 253.89, 10.078, 0.02, 0.14
8, GPThird, 27.25, 0.612, 369.993, 9.181, 0.0, 0.0
9, GPThird, 31.827, 0.643, 540.682, 12.264, 0.0, 0.0
40, GPThird, 35.534, 0.339, 979.424, 8.633, 0.0, 0.0
